Summary,Issue Type,Status,Priority,Assignee,Sprint,Story Points,Epic Name,Description
Project Setup & Repository Init,Task,Done,Critical,Anshuman Bakshi,Sprint 1 - Foundation,3,Data Infrastructure,"Initialize project structure with directory layout, pyproject.toml, git repo, pre-commit hooks, and .env configuration."
FastAPI Application Skeleton,Task,Done,Critical,Anshuman Bakshi,Sprint 1 - Foundation,3,Data Infrastructure,"Create FastAPI application with config management, structured logging, health endpoint, and CORS middleware."
DuckDB Data Loader,Story,Done,Critical,Anshuman Bakshi,Sprint 1 - Foundation,5,Data Infrastructure,"Implement lazy CSV loader using DuckDB for Bank Account Fraud (6M rows), Credit Card (285K rows), and PaySim (6.3M rows) datasets with schema detection."
Temporal & Stratified Data Splitter,Story,Done,High,Anshuman Bakshi,Sprint 1 - Foundation,3,Data Infrastructure,"Implement temporal and stratified splitters for train/val/test splits with no data leakage validation and configurable ratios."
Data API Endpoints,Task,Done,High,Anshuman Bakshi,Sprint 1 - Foundation,2,Data Infrastructure,"Create REST API endpoints: GET /api/v1/data/datasets, GET /api/v1/data/{dataset}/schema, POST /api/v1/data/{dataset}/split with integration tests."
Statistical PII Detection (Gate 3 & 4),Story,Done,Critical,Anshuman Bakshi,Sprint 1 - Foundation,5,PII Blocking Pipeline,"Implement entropy-based and cardinality-based PII detection with confidence scoring. Core of the 5-Gate Certified Data Sanitization Pipeline."
Regex Pattern PII Detection (Gate 2),Story,Done,Critical,Anshuman Bakshi,Sprint 1 - Foundation,3,PII Blocking Pipeline,"Implement 100+ regex patterns for credit card, SSN, email, phone, Aadhaar, PAN and other PII format detection."
k-Anonymity Analyzer (Gate 3),Story,Done,High,Anshuman Bakshi,Sprint 1 - Foundation,5,PII Blocking Pipeline,"Implement k-anonymity verification, quasi-identifier combination analysis, and re-identification risk scoring with configurable k threshold."
PII Transformations (Gate 5),Story,Done,Critical,Anshuman Bakshi,Sprint 1 - Foundation,5,PII Blocking Pipeline,"Implement utility-preserving PII transformations: binning, generalization, suppression, DP noise injection, and hard blocking gate."
PII Certificate Generator,Story,Done,High,Anshuman Bakshi,Sprint 1 - Foundation,3,PII Blocking Pipeline,"Create certificate generation system with schema hashing, certificate storage, and verification endpoint for certified data sanitization."
